202109|2021-09-18|21700.0|3985.25|17714.75
202109|2021-09-18|21700.0|3985.25|17714.75
202105|2021-09-18|21700.0|3960.25|17739.75
202109|2021-09-18|21700.0|3985.25|17714.75
202109|2021-09-18|21700.0|3985.25|17714.75
202107|2021-09-18|21700.0|3960.25|17739.75
202106|2021-09-18|21700.0|3960.25|17739.75
202108|2021-09-18|21700.0|3960.25|17739.75
202109|2021-09-18|29020.0|3985.25|25034.75
202109|2021-09-18|3729.0|667.25|3061.75
202109|2021-09-18|5763.0|995.75|4767.25
202108|2021-09-19|11414.01|1868.41|9545.6
